Date,Median,Adjusted-Median
1953-01-01,18080.26,185290.09
1953-02-01,18080.26,185638.51
1953-03-01,18080.26,185359.67
1953-04-01,18122.25,185372.49
1953-05-01,18143.25,185517.79
1953-06-01,18143.25,185032.68
1953-07-01,18185.25,185322.56
1953-08-01,18206.25,185121.96
1953-09-01,18227.25,185059.8
1953-10-01,18227.25,184647.79
1953-11-01,18206.25,185121.96
1953-12-01,18206.25,184984.17
1954-01-01,18206.25,184503.52
1954-02-01,18227.25,184374.14
1954-03-01,18227.25,184784.92
1954-04-01,18206.25,185053.04
1954-05-01,18206.25,184572.03
1954-06-01,18227.25,184716.33
1954-07-01,18290.25,185906.84
1954-08-01,18332.24,186403.04
1954-09-01,18374.24,187108.84
1954-10-01,18353.24,187524.5
1954-11-01,18353.24,187104.36
1954-12-01,18374.24,187388.42
1955-01-01,18395.24,187602.59
1955-02-01,18332.24,186611.54
1955-03-01,18290.25,186392.6
1955-04-01,18185.25,185322.56
1955-05-01,18185.25,185461.02
1955-06-01,18269.25,186736.22
1955-07-01,18332.24,187029.95
1955-08-01,18437.24,188382.78
1955-09-01,18479.24,187897.74
1955-10-01,18458.24,187894.15
1955-11-01,18416.24,187048.16
1955-12-01,18374.24,186691.03
1956-01-01,18332.24,186541.99
1956-02-01,18269.25,185693.39
1956-03-01,18206.25,184846.59
1956-04-01,18122.25,183720.45
1956-05-01,18143.25,183252.87
1956-06-01,18332.24,184343.33
1956-07-01,18479.24,184868.24
1956-08-01,18605.23,185992.35
1956-09-01,18584.23,185510.71
1956-10-01,18563.24,184223.46
1956-11-01,18521.24,183806.64
1956-12-01,18542.24,183215.85
1957-01-01,18605.23,183572.5
1957-02-01,18773.23,184363.92
1957-03-01,18773.23,183966.87
1957-04-01,18899.22,184737.34
1957-05-01,18962.22,184889.77
1957-06-01,18899.22,183554.39
1957-07-01,18899.22,183033.48
1957-08-01,18899.22,182450.98
1957-09-01,18962.22,182800.62
1957-10-01,19067.21,183812.75
1957-11-01,19067.21,183230.45
1957-12-01,19046.22,182643.01
1958-01-01,19067.21,181758.98
1958-02-01,19067.21,181378.99
1958-03-01,19235.21,181899.66
1958-04-01,19277.21,181855.9
1958-05-01,19319.2,182252.02
1958-06-01,19214.21,181449.67
1958-07-01,19214.21,181575.28
1958-08-01,19193.21,181063.46
1958-09-01,19130.21,180656.41
1958-10-01,19109.21,180458.1
1958-11-01,19151.21,180604.84
1958-12-01,19172.21,180678.06
1959-01-01,19130.21,180033.67
1959-02-01,19109.21,179898.06
1959-03-01,19109.21,180084.35
1959-04-01,19109.21,180022.21
1959-05-01,19193.21,180439.97
1959-06-01,19193.21,180006.07
1959-07-01,19130.21,179169.02
1959-08-01,19109.21,178788.34
1959-09-01,19151.21,178752.48
1959-10-01,19256.21,179120.15
1959-11-01,19277.21,179315.49
1959-12-01,19193.21,178169.9
1960-01-01,19256.21,178998.18
1960-02-01,19256.21,178754.72
1960-03-01,19256.21,178754.72
1960-04-01,19256.21,177968.06
1960-05-01,19214.21,177399.73
1960-06-01,19172.21,176772.83
1960-07-01,19172.21,177131.76
1960-08-01,19256.21,177547.33
1960-09-01,19340.2,178321.74
1960-10-01,19403.2,178060.72
1960-11-01,19340.2,177303.78
1960-12-01,19340.2,177125.35
1961-01-01,19340.2,176947.27
1961-02-01,19298.2,176563.01
1961-03-01,19340.2,176947.27
1961-04-01,19256.21,176356.14
1961-05-01,19319.2,176755.14
1961-06-01,19298.2,176563.01
1961-07-01,19361.2,176665.77
1961-08-01,19382.2,176739.25
1961-09-01,19382.2,176503.44
1961-10-01,19382.2,176503.44
1961-11-01,19487.2,177459.62
1961-12-01,19529.2,177664.31
1962-01-01,19550.19,177677.65
1962-02-01,19508.2,176883.85
1962-03-01,19508.2,176532.07
1962-04-01,19508.2,176298.33
1962-05-01,19613.19,177071.3
1962-06-01,19634.19,177436.92
1962-07-01,19634.19,177378.21
1962-08-01,19634.19,177026.73
1962-09-01,19613.19,176023.54
1962-10-01,19571.19,175877.87
1962-11-01,19592.19,176066.59
1962-12-01,19592.19,176066.59
1963-01-01,19613.19,175907.89
1963-02-01,19613.19,175677.04
1963-03-01,19718.19,176443.87
1963-04-01,19802.18,177369.84
1963-05-01,19760.19,176819.7
1963-06-01,19760.19,176242.04
1963-07-01,19802.18,176156.17
1963-08-01,19802.18,175812.45
1963-09-01,19802.18,175984.14
1963-10-01,19802.18,175812.45
1963-11-01,19928.18,176758.68
1963-12-01,20012.18,176928.93
1964-01-01,20012.18,176585.82
1964-02-01,20075.17,177313.57
1964-03-01,20075.17,177141.64
1964-04-01,20012.18,176528.77
1964-05-01,19928.18,175617.57
1964-06-01,19991.18,176002.32
1964-07-01,20033.17,176315.15
1964-08-01,20096.17,176698.73
1964-09-01,20159.17,177081.57
1964-10-01,20201.17,177222.42
1964-11-01,20264.17,177262.47
1964-12-01,20264.17,177035.57
1965-01-01,20390.16,177965.42
1965-02-01,20390.16,177965.42
1965-03-01,20327.16,177245.56
1965-04-01,20285.16,176484.77
1965-05-01,20264.17,175742.11
1965-06-01,20264.17,175019.35
1965-07-01,20306.16,175548.62
1965-08-01,20306.16,175715.54
1965-09-01,20306.16,175326.55
1965-10-01,20432.16,176247.23
1965-11-01,20537.15,176594.91
1965-12-01,20600.15,176580.48
1966-01-01,20663.15,176953.82
1966-02-01,20621.15,175493.19
1966-03-01,20621.15,174947.84
1966-04-01,20642.15,174583.48
1966-05-01,20684.15,174560.16
1966-06-01,20726.15,174752.55
1966-07-01,20747.15,174552.26
1966-08-01,20684.15,172956.24
1966-09-01,20684.15,172428.13
1966-10-01,20768.14,172601.26
1966-11-01,20768.14,172443.78
1966-12-01,20852.14,172930.88
1967-01-01,20852.14,173036.0
1967-02-01,20852.14,172511.65
1967-03-01,20705.15,171295.59
1967-04-01,20789.14,171470.84
1967-05-01,20915.14,172510.1
1967-06-01,20957.14,171818.34
1967-07-01,20957.14,171303.91
1967-08-01,21083.13,171819.33
1967-09-01,21083.13,171307.96
1967-10-01,21167.13,171480.13
1967-11-01,21230.13,170975.82
1967-12-01,21335.12,171315.99
1968-01-01,21314.12,170645.47
1968-02-01,21419.12,170984.7
1968-03-01,21377.12,170151.9
1968-04-01,21377.12,169657.28
1968-05-01,21314.12,168666.97
1968-06-01,21482.11,169016.54
1968-07-01,21566.11,168705.07
1968-08-01,21629.11,168714.47
1968-09-01,21629.11,168233.81
1968-10-01,21776.1,168417.47
1968-11-01,22028.09,169885.11
1968-12-01,22217.08,170380.04
1969-01-01,22322.08,170705.76
1969-02-01,22427.08,171029.66
1969-03-01,22616.07,171037.63
1969-04-01,22637.07,170253.22
1969-05-01,22742.06,170572.95
1969-06-01,22805.06,170110.79
1969-07-01,23015.05,170744.15
1969-08-01,23162.05,171369.04
1969-09-01,23330.04,171681.43
1969-10-01,23519.03,172144.17
1969-11-01,23624.03,171990.5
1969-12-01,23771.02,172142.54
1970-01-01,24002.01,172898.07
1970-02-01,24170.0,173194.23
1970-03-01,24296.0,173187.98
1970-04-01,24400.99,173032.81
1970-05-01,24589.99,173921.3
1970-06-01,24757.98,174206.85
1970-07-01,24820.98,174201.17
1970-08-01,25051.97,175371.5
1970-09-01,25303.96,176231.75
1970-10-01,25429.95,176210.19
1970-11-01,25576.95,176333.69
1970-12-01,25723.94,176455.89
1971-01-01,25786.94,176444.71
1971-02-01,25723.94,176013.64
1971-03-01,25723.94,175573.61
1971-04-01,25807.94,175707.66
1971-05-01,25996.93,176115.98
1971-06-01,26269.92,177086.5
1971-07-01,26311.92,176932.76
1971-08-01,26395.91,177061.43
1971-09-01,26458.91,177049.02
1971-10-01,26542.91,177176.84
1971-11-01,26752.9,178142.99
1971-12-01,26815.9,178128.04
1972-01-01,26899.89,178252.25
1972-02-01,26962.89,177806.58
1972-03-01,26941.89,177668.1
1972-04-01,26983.89,177516.28
1972-05-01,27067.88,177640.77
1972-06-01,27235.88,178314.68
1972-07-01,27508.87,179671.09
1972-08-01,27613.86,179926.38
1972-09-01,27592.86,178935.44
1972-10-01,27571.86,178375.56
1972-11-01,27592.86,177669.38
1972-12-01,27613.86,177386.24
1973-01-01,27550.86,176152.59
1973-02-01,27550.86,174923.61
1973-03-01,27571.86,173443.52
1973-04-01,27571.86,172252.83
1973-05-01,27634.86,171859.87
1973-06-01,27697.86,171082.54
1973-07-01,27676.86,170952.83
1973-08-01,27928.85,169442.47
1973-09-01,28033.84,169326.87
1973-10-01,28243.84,169098.84
1973-11-01,28369.83,168743.01
1973-12-01,28558.82,168399.58
1974-01-01,28789.81,167947.94
1974-02-01,29020.8,167505.85
1974-03-01,29335.79,167552.78
1974-04-01,29440.79,167103.72
1974-05-01,29587.78,166210.27
1974-06-01,29755.77,165789.43
1974-07-01,29902.77,165594.63
1974-08-01,30175.76,165097.09
1974-09-01,30469.74,164399.3
1974-10-01,30721.73,164458.84
1974-11-01,30952.72,164086.68
1974-12-01,31435.7,165362.68
1975-01-01,32033.5,167218.54
1975-02-01,32086.75,166541.21
1975-03-01,32169.16,166336.49
1975-04-01,32222.41,165983.11
1975-05-01,32318.77,166165.95
1975-06-01,32298.49,164820.1
1975-07-01,32472.18,164172.13
1975-08-01,32664.89,164537.03
1975-09-01,32994.54,164979.95
1975-10-01,33239.23,165295.24
1975-11-01,33475.05,165263.84
1975-12-01,33570.14,164839.05
1976-01-01,33693.12,164849.93
1976-02-01,33757.78,164870.82
1976-03-01,34054.46,166022.79
1976-04-01,34395.51,167386.58
1976-05-01,34801.22,168460.12
1976-06-01,34908.99,168087.71
1976-07-01,35196.79,168581.51
