Date,Price
2021-11-01,459.25
2021-10-01,430.98
2021-09-01,452.56
2021-08-01,440.34
2021-07-01,428.87
2021-06-01,422.57
2021-05-01,419.43
2021-04-01,398.40
2021-03-01,385.59
2021-02-01,373.72
2021-01-01,375.31
2020-12-01,365.57
2020-11-01,330.20
2020-10-01,337.69
2020-09-01,350.21
2020-08-01,328.32
2020-07-01,309.57
2020-06-01,303.62
2020-05-01,285.31
2020-04-01,247.98
2020-03-01,298.21
2020-02-01,323.35
2020-01-01,323.54
2019-12-01,314.59
2019-11-01,304.92
2019-10-01,297.74
2019-09-01,290.57
2019-08-01,297.60
2019-07-01,296.68
2019-06-01,275.31
2019-05-01,294.72
2019-04-01,284.70
2019-03-01,280.44
2019-02-01,270.15
2019-01-01,245.98
2018-12-01,280.28
2018-11-01,271.60
2018-10-01,292.11
2018-09-01,289.84
2018-08-01,281.56
2018-07-01,269.51
2018-06-01,272.41
2018-05-01,263.87
2018-04-01,262.55
2018-03-01,271.41
2018-02-01,281.07
2018-01-01,267.84
2017-12-01,264.76
2017-11-01,258.04
2017-10-01,251.49
2017-09-01,247.92
2017-08-01,247.46
2017-07-01,242.88
2017-06-01,241.97
2017-05-01,238.68
2017-04-01,235.80
2017-03-01,238.39
2017-02-01,228.25
2017-01-01,225.04
2016-12-01,220.73
2016-11-01,212.93
2016-10-01,215.82
2016-09-01,217.37
2016-08-01,217.19
2016-07-01,209.36
2016-06-01,209.12
2016-05-01,206.92
2016-04-01,204.35
2016-03-01,195.01
2016-02-01,192.53
2016-01-01,200.49
2015-12-01,209.44
2015-11-01,208.32
2015-10-01,192.08
2015-09-01,193.12
2015-08-01,210.46
2015-07-01,207.73
2015-06-01,211.94
2015-05-01,209.40
2015-04-01,206.39
2015-03-01,210.78
2015-02-01,200.05
2015-01-01,206.38
2014-12-01,206.40
2014-11-01,201.92
2014-10-01,196.70
2014-09-01,200.97
2014-08-01,192.56
2014-07-01,196.20
2014-06-01,192.95
2014-05-01,188.22
2014-04-01,187.62
2014-03-01,184.65
2014-02-01,177.97
2014-01-01,183.98
2013-12-01,181.09
2013-11-01,176.02
2013-10-01,168.14
2013-09-01,165.23
2013-08-01,169.99
2013-07-01,161.26
2013-06-01,163.83
2013-05-01,159.33
2013-04-01,156.59
2013-03-01,151.09
2013-02-01,150.65
2013-01-01,145.11
2012-12-01,142.80
2012-11-01,141.65
2012-10-01,144.52
2012-09-01,141.04
2012-08-01,138.70
2012-07-01,136.48
2012-06-01,129.41
2012-05-01,139.79
2012-04-01,140.64
2012-03-01,137.31
2012-02-01,132.29
2012-01-01,127.76
2011-12-01,124.85
2011-11-01,122.03
2011-10-01,112.49
2011-09-01,122.29
2011-08-01,130.84
2011-07-01,132.09
2011-06-01,134.51
2011-05-01,137.07
2011-04-01,133.41
2011-03-01,133.57
2011-02-01,129.46
2011-01-01,126.71
2010-12-01,120.20
2010-11-01,119.07
2010-10-01,114.99
2010-09-01,106.73
2010-08-01,111.99
2010-07-01,103.15
2010-06-01,108.35
2010-05-01,119.38
2010-04-01,117.80
2010-03-01,111.20
2010-02-01,108.15
2010-01-01,112.37
2009-12-01,110.92
2009-11-01,104.13
2009-10-01,105.34
2009-09-01,101.95
2009-08-01,99.85
2009-07-01,92.34
2009-06-01,93.67
2009-05-01,87.44
2009-04-01,78.53
2009-03-01,72.52
2009-02-01,81.57
2009-01-01,90.44
2008-12-01,87.51
2008-11-01,96.78
2008-10-01,115.27
2008-09-01,130.03
2008-08-01,127.12
2008-07-01,126.52
2008-06-01,139.83
2008-05-01,138.39
2008-04-01,133.71
2008-03-01,133.14
2008-02-01,137.94
2008-01-01,146.53
2007-12-01,148.19
2007-11-01,153.29
2007-10-01,152.60
2007-09-01,147.45
2007-08-01,145.18
2007-07-01,150.87
2007-06-01,153.88
2007-05-01,148.42
2007-04-01,142.16
2007-03-01,139.34
2007-02-01,144.15
2007-01-01,142.25
2006-12-01,140.53
2006-11-01,138.22
2006-10-01,133.54
2006-09-01,131.14
2006-08-01,127.34
2006-07-01,127.43
2006-06-01,127.38
2006-05-01,131.47
2006-04-01,130.07
2006-03-01,128.60
2006-02-01,127.82
2006-01-01,125.10
2005-12-01,126.02
2005-11-01,120.58
2005-10-01,122.96
2005-09-01,122.51
2005-08-01,123.83
2005-07-01,119.45
2005-06-01,119.52
2005-05-01,116.07
2005-04-01,118.63
2005-03-01,120.78
2005-02-01,118.25
2005-01-01,121.56
2004-12-01,118.16
2004-11-01,113.56
2004-10-01,112.26
2004-09-01,110.94
2004-08-01,110.19
2004-07-01,114.25
2004-06-01,112.46
2004-05-01,111.37
2004-04-01,113.07
2004-03-01,115.43
2004-02-01,113.70
2004-01-01,111.74
2003-12-01,106.93
2003-11-01,105.75
2003-10-01,100.24
2003-09-01,101.64
2003-08-01,99.19
2003-07-01,97.25
2003-06-01,97.53
2003-05-01,91.92
2003-04-01,85.25
2003-03-01,85.26
2003-02-01,86.14
2003-01-01,88.85
2002-12-01,95.47
2002-11-01,88.35
2002-10-01,82.44
2002-09-01,90.73
2002-08-01,90.88
2002-07-01,99.19
2002-06-01,107.09
2002-05-01,107.97
2002-04-01,114.23
2002-03-01,111.72
